

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
6228.009  088.100  017.487: require('nvim-tree.actions.node')
6265.063  018.293  018.293: require('nvim-tree.actions.root.change-dir')
6283.217  018.151  018.151: require('nvim-tree.actions.root.dir-up')
6283.221  055.210  018.766: require('nvim-tree.actions.root')
6320.929  018.596  018.596: require('nvim-tree.actions.tree.find-file')
6359.952  019.047  019.047: require('nvim-tree.actions.tree.modifiers.collapse-all')
6379.426  019.471  019.471: require('nvim-tree.actions.tree.modifiers.expand-all')
6399.431  020.003  020.003: require('nvim-tree.actions.tree.modifiers.toggles')
6399.434  078.502  019.982: require('nvim-tree.actions.tree.modifiers')
6423.568  024.132  024.132: require('nvim-tree.actions.tree.open')
6443.588  020.017  020.017: require('nvim-tree.actions.tree.toggle')
6443.591  160.369  019.121: require('nvim-tree.actions.tree')
6443.592  577.880  018.664: require('nvim-tree.actions')
6462.480  018.886  018.886: require('nvim-tree.appearance.diagnostics')
6498.698  018.100  018.100: require('nvim-tree.keymap')
6498.704  036.221  018.121: require('nvim-tree.help')
6516.356  017.505  017.505: require('nvim-tree.marks.navigation')
6534.686  018.327  018.327: require('nvim-tree.marks.bulk-delete')
6553.280  018.591  018.591: require('nvim-tree.marks.bulk-trash')
6571.360  018.077  018.077: require('nvim-tree.marks.bulk-move')
6571.395  722.507  017.019: require('nvim-tree.api')
6571.402  739.863  017.356: require('nvim-tree.commands')
6590.120  018.717  018.717: require('nvim-tree.legacy')
6590.162  1492.341  019.076: require('nvim-tree')
6671.954  020.867  020.867: require('nvim-web-devicons.icons-default')
6672.074  040.045  019.178: require('nvim-web-devicons')
6674.289  1576.937  044.551: require('user.nvim-tree')
6700.192  011.802  011.802: require('lualine_require')
6701.464  026.581  014.778: require('lualine')
6708.674  007.205  007.205: require('lualine.themes.darkplus_dark')
6732.680  011.424  011.424: require('lualine.utils.loader')
6751.421  042.730  031.306: require('lualine.themes.auto')
6769.295  011.923  011.923: require('lualine.utils.mode')
6774.414  100.120  011.682: require('user.lualine')
6829.108  028.582  028.582: require('toggleterm.lazy')
6852.903  023.791  023.791: require('toggleterm.constants')
6879.456  026.543  026.543: require('toggleterm.terminal')
6879.466  104.581  025.665: require('toggleterm')
6932.631  024.275  024.275: require('toggleterm.colors')
6955.644  023.009  023.009: require('toggleterm.utils')
6955.653  076.182  028.897: require('toggleterm.config')
6980.420  023.670  023.670: require('toggleterm.commandline')
6980.683  206.265  001.832: require('user.toggleterm')
6983.584  002.481  002.481: require('alpha')
6985.809  002.221  002.221: require('alpha.themes.dashboard')
6985.972  005.287  000.585: require('user.alpha')
7091.799  025.774  025.774: require('which-key.util')
7091.805  053.091  027.318: require('which-key.tree')
7117.335  025.528  025.528: require('which-key.config')
7117.347  104.503  025.884: require('which-key.keys')
7117.353  130.691  026.188: require('which-key')
7117.928  131.953  001.262: require('user.whichkey')
7148.352  015.335  015.335: require('numb.log')
7148.357  030.073  014.737: require('numb')
7148.383  030.453  000.380: require('user.numb')
7189.552  041.167  041.167: require('user.colorizer')
7224.833  016.461  016.461: require('spectre.config')
7241.793  016.957  016.957: require('spectre.state')
7311.467  016.693  016.693: require('spectre._log')
7329.254  017.783  017.783: require('spectre.utils')
7329.265  053.796  019.320: require('spectre.search.base')
7329.279  070.891  017.095: require('spectre.search')
7362.440  016.207  016.207: require('spectre.replace.base')
7362.443  033.163  016.956: require('spectre.replace')
7362.454  120.658  016.604: require('spectre.state_utils')
7379.739  017.283  017.283: require('spectre.ui')
7491.874  019.804  019.804: require('plenary.tbl')
7491.886  039.336  019.532: require('plenary.vararg.rotate')
7491.888  065.563  026.227: require('plenary.vararg')
7511.749  019.860  019.860: require('plenary.errors')
7511.767  111.119  025.696: require('plenary.async.async')
7593.222  021.171  021.171: require('plenary.async.structs')
7593.256  041.235  020.064: require('plenary.async.control')
7593.267  061.309  020.074: require('plenary.async.util')
7593.280  081.498  020.189: require('plenary.async.tests')
7593.282  213.539  020.923: require('plenary.async')
7593.309  403.322  018.425: require('spectre')
7611.207  017.369  017.369: require('spectre.highlight')
7611.220  421.664  000.973: require('user.spectre')
7640.375  013.466  013.466: require('neoscroll.config')
7654.356  013.977  013.977: require('neoscroll.utils')
7654.390  042.821  015.377: require('neoscroll')
7654.505  043.284  000.463: require('user.neoscroll')
7726.348  025.148  025.148: require('todo-comments.util')
7726.358  048.122  022.975: require('todo-comments.config')
7773.592  022.774  022.774: require('todo-comments.highlight')
7773.597  047.237  024.463: require('todo-comments.jump')
7773.600  118.706  023.346: require('todo-comments')
7773.619  119.112  000.406: require('user.todo-comments')
7773.941  000.320  000.320: require('user.git-blame')
7844.379  017.482  017.482: require('notify.util.queue')
7844.383  034.559  017.077: require('notify.util')
7860.468  016.083  016.083: require('notify.config.highlights')
7860.473  068.413  017.771: require('notify.config')
7894.054  017.143  017.143: require('notify.stages')
7910.664  016.607  016.607: require('notify.service.notification')
7962.394  016.673  016.673: require('notify.animate.spring')
7962.397  034.493  017.820: require('notify.animate')
7962.401  051.735  017.242: require('notify.windows')
8012.357  015.987  015.987: require('notify.service.buffer.highlights')
8012.362  033.274  017.287: require('notify.service.buffer')
8012.365  049.962  016.687: require('notify.service')
8029.331  016.965  016.965: require('notify.stages.util')
8029.334  168.859  016.449: require('notify.instance')
8029.337  255.071  017.799: require('notify')
8045.494  016.101  016.101: require('notify.stages.fade_in_slide_out')
8045.529  271.585  000.414: require('user.notify')
8066.170  020.338  020.338: require('registers')
8066.310  020.780  000.441: require('user.registers')
8066.744  000.431  000.431: require('user.functions')
8093.935  026.832  026.832: require('illuminate')
8118.813  024.873  024.873: require('illuminate.config')
8118.855  052.109  000.404: require('user.illuminate')
8130.903  005.477  005.477: require('cybu.config')
8136.568  005.662  005.662: require('cybu.utils')
8142.343  005.773  005.773: require('cybu.vars')
8148.026  005.681  005.681: require('cybu.infobar')
8148.037  028.845  006.253: require('cybu')
8148.177  029.319  000.474: require('user.cybu')
8149.980  000.795  000.795: require('vim.filetype')
8182.957  034.777  033.982: require('user.options')
8183.376  000.416  000.416: require('user.nvim-webdev-icons')
8199.851  016.147  016.147: require('bqf')
8199.855  016.476  000.330: require('user.bqf')
8240.371  026.039  026.039: require('vim.ui')
8240.377  032.839  006.799: require('dressing.patch')
8240.380  040.175  007.337: require('dressing')
8248.179  007.795  007.795: require('dressing.config')
8248.342  048.485  000.515: require('user.dressing')
8291.429  043.084  043.084: require('user.auto-session')
8363.604  017.510  017.510: require('nvim-surround.input')
8380.806  017.199  017.199: require('nvim-surround.functional')
8380.819  053.189  018.480: require('nvim-surround.config')
8380.825  071.393  018.204: require('nvim-surround.buffer')
8399.572  018.745  018.745: require('nvim-surround.cache')
8424.509  024.934  024.934: require('nvim-surround.utils')
8424.515  132.771  017.699: require('nvim-surround')
